:ID,:LABEL,label,codeSystem,hasCode
TR:oxy-li-u-ph-p,Treatment,oxy liệu pháp,,
SV:nguy-k-ch,Severity,nguy kịch,,
CS:ng-ng-th,ClinicalSign,Ngừng thở,,
CS:ng-ng-tim,ClinicalSign,Ngừng tim,,
D:s-c-d-ch-d-d-y,Disease,Sặc dịch dạ dày,,
D:ung-th-v-ng-khoang-mi-ng,Disease,Ung thư vùng khoang miệng,,
D:ung-th-h-h-ng-thanh-qu-n,Disease,Ung thư hạ họng thanh quản,,
D:ch-t-h-p-kh-qu-n,Disease,Chít hẹp khí quản,,
D:kh-i-u-n-o,Disease,khối u não,,
DR:mannitol,Drug,mannitol,,
DR:dexamethason,Drug,dexamethason,,
DR:synacthen,Drug,synacthen,,
D:ph-n-thanh-m-n,Disease,phù nề thanh môn,,
DR:paracetamol,Drug,paracetamol,,
DR:ultracet,Drug,ultracet,,
D:toan-h-h-p,Disease,Toan hô hấp,,
LT:t-ng-co2,LabTest,Tăng CO2,,
PR:m-kh-qu-n,Procedure,Mở khí quản,,
D:u-h-h-ng-thanh-qu-n,Disease,U hạ họng thanh quản,,
D:u-tuy-n-c-g-y-nh-c-c,Disease,U tuyến ức gây nhược cơ,,
D:u-n-o-c-ph-n-o,Disease,U não có phù não,,
D:li-t-c-h-h-p,Disease,Liệt cơ hô hấp,,
PR:th-ng-kh-nh-n-t-o-kh-ng-x-m-nh-p,Procedure,Thông khí nhân tạo không xâm nhập,,
D:toan-h-h-p-n-ng,Disease,Toan hô hấp nặng,,
CS:gi-m-th-ng-kh,ClinicalSign,Giảm thông khí,,
PR:th-ng-kh-nh-n-t-o,Procedure,Thông khí nhân tạo,,
PR:t-stent-kh-qu-n,Procedure,Đặt stent khí quản,,
PR:ch-c-th-o-d-n-l-u,Procedure,Chọc tháo dẫn lưu,,
TR:li-u-ph-p-corticoid,Treatment,Liệu pháp corticoid,,
TR:li-u-ph-p-kh-ng-sinh,Treatment,Liệu pháp kháng sinh,,
D:ung-th-ngo-i-ph-i,Disease,Ung thư ngoài phổi,,
TR:i-u-tr-to-n-th-n,Treatment,Điều trị toàn thân,,
PR:gi-m-p-l-c-n-i-s,Procedure,Giảm áp lực nội sọ,,
PR:x-ph-u,Procedure,Xạ phẫu,,
PR:ch-c-d-ch-c-tr-ng,Procedure,Chọc dịch cổ trướng,,
D:kh-i-u-v-ng-t-y-s-ng,Disease,Khối u vùng tủy sống,,
TR:i-u-ch-nh-r-i-lo-n-n-c-i-n-gi-i,Treatment,Điều chỉnh rối loạn nước điện giải,,
TR:ch-ng-lo-t-dinh-d-ng,Treatment,Chống loét dinh dưỡng,,
TR:n-ng-cao-th-tr-ng,Treatment,Nâng cao thể trạng,,
D:b-nh-h-h-p,Disease,Bệnh hô hấp,,
D:ung-b-u,Disease,Ung bướu,,
D:oncology,Disease,Oncology,,
D:respiratory-distress,Disease,Respiratory Distress,,
D:emergency-medicine,Disease,Emergency medicine,,
D:huy-t-kh-i-t-nh-m-ch-s-u,Disease,huyết khối tĩnh mạch sâu,,
D:thuy-n-t-c-ng-m-ch-ph-i,Disease,thuyên tắc động mạch phổi,,
D:tthktm,Disease,TTHKTM,,
D:gi-n-t-nh-m-ch,Disease,Giãn tĩnh mạch,,
DR:thu-c-kh-ng-ng,Drug,Thuốc kháng đông,,
RF:nguy-c-ch-y-m-u,RiskFactor,Nguy cơ chảy máu,,
TR:d-ph-ng,Treatment,Dự phòng,,
G:thang-i-m-padua,Guideline,Thang điểm PADUA,,
RF:ung-th-ti-n-tri-n,RiskFactor,ung thư tiến triển,,
RF:t-nh-tr-ng-b-nh-l-t-ng-ng,RiskFactor,Tình trạng bệnh lý tăng đông,,
D:nh-i-m-u-n-o-c-p,Disease,Nhồi máu não cấp,,
D:nhi-m-khu-n-c-p,Disease,Nhiễm khuẩn cấp,,
D:b-nh-c-x-ng-kh-p-do-th-p,Disease,Bệnh cơ xương khớp do thấp,,
M:bmi-30,Measurement,BMI ≥30,,
TR:i-u-tr-hormone,Treatment,Điều trị hormone,,
SV:nguy-c-th-p-b-tthktm,Severity,Nguy cơ thấp bị TTHKTM,,
SV:nguy-c-cao-b-tthktm,Severity,Nguy cơ cao bị TTHKTM,,
G:thang-i-m-khorana,Guideline,Thang điểm Khorana,,
D:ung-th-bi-u-m-tuy-n-t-y,Disease,Ung thư biểu mô tuyến tụy,,
AS:ph-khoa,AnatomicalSite,Phụ khoa,,
AS:tinh-ho-n,AnatomicalSite,Tinh hoàn,,
M:s-l-ng-ti-u-c-u,Measurement,Số lượng tiểu cầu,,
M:hemoglobin,Measurement,Hemoglobin,,
DR:erythropoietin,Drug,Erythropoietin,,
M:s-l-ng-b-ch-c-u,Measurement,Số lượng bạch cầu,,
G:thang-i-m-improve,Guideline,Thang điểm IMPROVE,,
RF:nguy-c-xu-t-huy-t,RiskFactor,nguy cơ xuất huyết,,
D:lo-t-d-d-y-t-tr-ng,Disease,Loét dạ dày - tá tràng,,
M:s-l-ng-ti-u-c-u-50g-l,Measurement,Số lượng tiểu cầu <50G/L,,
M:inr-1-5,Measurement,INR >1.5,,
M:m-c-l-c-c-u-th-n-30ml-ph-t-1-73m2,Measurement,"mức lọc cầu thận <30ml/phút/1,73m2",,
PR:catheter-t-nh-m-ch-trung-t-m,Procedure,Catheter tĩnh mạch trung tâm,,
D:b-nh-th-p-kh-p,Disease,Bệnh thấp khớp,,
RF:nguy-c-ch-y-m-u-n-ng,RiskFactor,Nguy cơ chảy máu nặng,,
CS:ch-y-m-u-c-ngh-a-l-m-s-ng,ClinicalSign,chảy máu có ý nghĩa lâm sàng,,
DR:thu-c-kh-ng-ng,Drug,thuốc kháng đông,,
CS:t-nh-tr-ng-xu-t-huy-t,ClinicalSign,Tình trạng xuất huyết,,
RF:ti-n-s-xu-t-huy-t-gi-m-ti-u-c-u,RiskFactor,Tiền sử xuất huyết giảm tiểu cầu,,
RF:d-ng-thu-c-ch-ng-ng,RiskFactor,Dị ứng thuốc chống đông,,
DR:thu-c-ch-ng-ng-ng-t-p-ti-u-c-u,Drug,thuốc chống ngưng tập tiểu cầu,,
CS:xu-t-huy-t-n-i-nh-n-c-u,ClinicalSign,Xuất huyết nội nhãn cầu,,
D:ung-th-n-i-khoa,Disease,ung thư nội khoa,,
M:bmi-25kg-m2,Measurement,BMI >25kg/m2,,
D:ch-n-th-ng-t-y-s-ng-c-p,Disease,Chấn thương tủy sống cấp,,
D:b-nh-ph-i-n-ng,Disease,Bệnh phổi nặng,,
PR:t-catheter-t-nh,Procedure,Đặt catheter tĩnh,,
AS:m-ch-trung-t-m,AnatomicalSite,mạch trung tâm,,
D:g-y-c-x-ng-i,Disease,Gãy cổ xương đùi,,
AS:x-ng-i,AnatomicalSite,Xương đùi,,
D:vi-m-ng-ru-t,Disease,Viêm đường ruột,,
D:b-nh-crohn,Disease,Bệnh Crohn,,
DR:kh-ng-ng,Drug,Kháng đông,,
PR:ph-u-thu-t-kh-p,Procedure,Phẫu thuật khớp,,
LT:cardiolipin,LabTest,Cardiolipin,,
D:nhi-m-tr-ng-huy-t,Disease,Nhiễm trùng huyết,,
D:b-nh-l-c-t-nh,Disease,Bệnh lý ác tính,,
RF:t-bi-n-gen,RiskFactor,Đột biến gen,,
LT:prothrombin,LabTest,prothrombin,,
RF:g20210a,RiskFactor,G20210A,,
RF:y-u-t-v-leiden,RiskFactor,Yếu tố V Leiden,,
D:ch-c-n-ng-ph-i-b-t-th-ng,Disease,Chức năng phổi bất thường,,
RF:t-ng-ng-b-m-sinh,RiskFactor,Tăng đông bẩm sinh,,
LT:t-ng-homocysteine,LabTest,Tăng homocysteine,,
D:ung-th-v-ng-b-ng,Disease,Ung thư vùng bụng,,
D:ung-th-v-ng-ch-u,Disease,Ung thư vùng chậu,,
PR:ph-u-thu-t-n-i-soi-v-ng-b-ng,Procedure,Phẫu thuật nội soi vùng bụng,,
PR:ph-u-thu-t-n-i-soi-v-ng-ch-u,Procedure,Phẫu thuật nội soi vùng chậu,,
PR:catheter-t-nh-m-ch-trung-t-m,Procedure,catheter tĩnh mạch trung tâm,,
AS:chi-tr-n,AnatomicalSite,chi trên,,
AS:t-nh-m-ch-c-nh-b-n-ph-i,AnatomicalSite,tĩnh mạch cảnh bên phải,,
AS:t-nh-m-ch-d-i-n,AnatomicalSite,tĩnh mạch dưới đòn,,
G:asco,Guideline,ASCO,,
G:nccn,Guideline,NCCN,,
G:accp,Guideline,ACCP,,
M:thang-i-m-khorana,Measurement,thang điểm Khorana,,
SV:nguy-c-trung-b-nh,Severity,nguy cơ trung bình,,
DR:heparin-tr-ng-l-ng-ph-n-t-th-p,Drug,Heparin trọng lượng phân tử thấp,,
DR:thu-c-kh-ng-ng-ng-u-ng-th-h-m-i,Drug,Thuốc kháng đông đường uống thế hệ mới,,
DR:apixaban,Drug,Apixaban,,
DR:edoxaban,Drug,Edoxaban,,
DR:thu-c-h-a-tr,Drug,thuốc hóa trị,,
TR:n-i-ti-t,Treatment,nội tiết,,
TR:li-u-ph-p-nh-m-ch,Treatment,liệu pháp nhắm đích,,
TR:i-u-tr-ch-ng-ng,Treatment,điều trị chống đông,,
CS:ph-chi,ClinicalSign,phù chi,,
DR:protamine-sulfate,Drug,Protamine sulfate,,
D:gi-m-ti-u-c-u-do-heparin,Disease,Giảm tiểu cầu do heparin,,
M:ti-u-c-u,Measurement,tiểu cầu,,
D:huy-t-kh-i-ng-m-ch-t-nh-m-ch,Disease,huyết khối động mạch/tĩnh mạch,,
LT:ti-u-c-u,LabTest,tiểu cầu,,
G:thang-i-m-4t-c-a-isth,Guideline,thang điểm 4T của ISTH,,
LT:kh-ng-th-kh-ng-pff4-heparin,LabTest,kháng thể kháng PFF4-Heparin,,
DR:fondaparinux,Drug,fondaparinux,,
D:thuy-n-t-c-huy-t-kh-i-t-nh-m-ch,Disease,thuyên tắc huyết khối tĩnh mạch,,
G:h-ng-d-n-ch-n-o-n-i-u-tr-v-d-ph-ng-thuy-n-t-c-huy-t-kh-i-t-nh-m-ch,Guideline,"Hướng dẫn chẩn đoán, điều trị và dự phòng thuyên tắc huyết khối tĩnh mạch",,
D:venous-thromboembolism,Disease,Venous thromboembolism,,
G:prevention-of-venous-thromboembolism,Guideline,prevention of venous thromboembolism,,
D:venous-thromboembolic-disease,Disease,Venous Thromboembolic Disease,,
D:cancer,Disease,Cancer,,
D:venous-thromboembolism,Disease,venous thromboembolism,,
G:treatment-and-prophylaxis-of-venous-thromboembolism,Guideline,treatment and prophylaxis of venous thromboembolism,,
D:vte-disease,Disease,VTE disease,,
TR:antithrombotic-therapy,Treatment,Antithrombotic therapy,,
G:american-college-of-chest-physicians-evidence-based-clinical-practice-guidelines,Guideline,American College of Chest Physicians Evidence - Based Clinical Practice Guidelines,,
G:venous-thromboembolism-prophylaxis-and-treatment,Guideline,Venous thromboembolism prophylaxis and treatment,,
D:venous-thromboembolism-vte,Disease,venous thromboembolism (VTE),,
G:management-of-venous-thromboembolism-vte,Guideline,Management of venous thromboembolism (VTE),,
AS:bao-gan,AnatomicalSite,Bao gan,,
AS:bao-l-ch,AnatomicalSite,Bao lách,,
AS:tu,AnatomicalSite,Tuỵ,,
CS:b-ti-u,ClinicalSign,Bí tiểu,,
CS:co-c-ng-c,ClinicalSign,Co cứng cơ,,
D:vi-m-lo-t,Disease,Viêm loét,,
IM:x-h-nh-x-ng,ImagingModality,Xạ hình xương,,
D:ung-th-nguy-n-ph-t,Disease,Ung thư nguyên phát,,
LT:calci,LabTest,calci,,
LT:phosphatase-ki-m-alp,LabTest,phosphatase kiềm (ALP),,
IM:xquang,ImagingModality,Xquang,,
IF:t-n-th-ng-c-u-tr-c-x-ng,ImagingFinding,tổn thương cấu trúc xương,,
LT:99mtc-mdp,LabTest,99mTc-MDP,,
IM:gamma-camera,ImagingModality,gamma camera,,
IF:t-n-th-ng-x-ng,ImagingFinding,tổn thương xương,,
IF:t-ng-t-p-trung-ho-t-ph-ng-x,ImagingFinding,tăng tập trung hoạt độ phóng xạ,,
IF:gi-m-ho-c-khuy-t-ho-t-ph-ng-x,ImagingFinding,giảm hoặc khuyết hoạt độ phóng xạ,,
LT:18f-fdg,LabTest,18F-FDG,,
D:ung-th-di-c-n-x-ng,Disease,ung thư di căn xương,,
IF:t-ng-h-p-thu-fdg,ImagingFinding,ổ tăng hấp thu FDG,,
IF:t-n-th-ng-c-u-tr-c,ImagingFinding,tổn thương cấu trúc,,
PR:sinh-thi-t-x-ng,Procedure,sinh thiết xương,,
IM:h-nh-nh,ImagingModality,hình ảnh,,
D:au-do-ung-th,Disease,đau do ung thư,,
M:th-i-gian-ng,Measurement,thời gian ngủ,,
TR:ngh,Treatment,nghỉ,,
TR:ho-t-ng,Treatment,hoạt động,,
DR:thu-c-kh-ng-vi-m-gi-m-au,Drug,thuốc kháng viêm giảm đau,,
DR:thu-c-gi-m-au-d-ng-opioid-y-u,Drug,thuốc giảm đau dạng opioid yếu,,
DR:cocain,Drug,Cocain,,
DR:thu-c-opioid,Drug,thuốc opioid,,
DR:thu-c-ch-ng-au,Drug,thuốc chống đau,,
SV:m-c-au,Severity,mức độ đau,,
DR:thu-c-gi-m-au-kh-ng-opioid,Drug,Thuốc giảm đau không opioid,,
DR:thu-c-gi-m-au,Drug,thuốc giảm đau,,
G:ph-c-i-u-tr-au-t-ng-b-c-theo-m-c-au-c-a-who,Guideline,Phác đồ điều trị đau từng bước theo mức độ đau của WHO,,
D:au,Disease,Đau,,
DR:thu-c-ch-ng-au-kh-ng-c-opioid,Drug,Thuốc chống đau không có opioid,,
DR:thu-c-ch-ng-vi-m-kh-ng-c-hi-u,Drug,thuốc chống viêm không đặc hiệu,,
DR:thu-c-h-tr-ng-gi-m-au,Drug,thuốc hỗ trợ đồng giảm đau,,
DR:opioid-d-ng-y-u,Drug,opioid dạng yếu,,
DR:opioid-y-u-d-ng-ph-i-h-p,Drug,opioid yếu dạng phối hợp,,
DR:thu-c-ch-ng-au-d-ng-opioid,Drug,Thuốc chống đau dạng opioid,,
DR:acetaminophen,Drug,Acetaminophen,,
DR:diclofenac,Drug,Diclofenac,,
DR:meloxicam,Drug,Meloxicam,,
DR:ketorolac,Drug,Ketorolac,,
DR:mobic,Drug,Mobic,,
DR:acorxia,Drug,Acorxia,,
DR:voltaren,Drug,Voltaren,,
DR:feldene,Drug,Feldene,,
D:vi-m-lo-t-d-d-y,Disease,Viêm loét dạ dày,,
DR:tramadol-paracetamol,Drug,Tramadol + paracetamol,,
D:au-ung-th,Disease,Đau ung thư,,
DR:ultracet,Drug,Ultracet,,
DR:tramadol,Drug,Tramadol,,
DR:fentanyl,Drug,Fentanyl,,
D:au-m-n-t-nh,Disease,đau mạn tính,,
D:au-dai-d-ng,Disease,đau dai dẳng,,
DR:durogesic,Drug,Durogesic,,
DR:thu-c-gi-m-au-opioid,Drug,thuốc giảm đau opioid,,
DR:hydromorphone,Drug,Hydromorphone,,
DR:methadone,Drug,Methadone,,
DR:oxycodone,Drug,Oxycodone,,
M:mcg-gi,Measurement,mcg/giờ,,
M:mg-ng-y,Measurement,mg/ngày,,
CS:au-k-ch-ph-t,ClinicalSign,Đau kịch phát,,
CS:au-t-xu-t,ClinicalSign,Đau đột xuất,,
DR:oxycodone-naloxone,Drug,Oxycodone/Naloxone,,
DR:hydrocortisol,Drug,hydrocortisol,,
DR:medrol-16mg,Drug,Medrol 16mg,,
DR:methylprednisolon-40mg,Drug,methylprednisolon 40mg,,
DR:nortriptylin,Drug,nortriptylin,,
DR:apo-amitriptyline-25mg,Drug,Apo-Amitriptyline 25mg,,
DR:thu-c-ch-ng-co-gi-t,Drug,Thuốc chống co giật,,
DR:carbamazepin-200mg,Drug,carbamazepin 200mg,,
DR:gabapentin-150mg,Drug,Gabapentin 150mg,,
DR:pregabalin-75mg,Drug,Pregabalin 75mg,,
DR:thu-c-ch-ng-co-th-t-c-tr-n,Drug,Thuốc chống co thắt cơ trơn,,
DR:buscopan,Drug,Buscopan,,
DR:spasfon-40mg,Drug,Spasfon 40mg,,
DR:nospa-40mg,Drug,Nospa 40mg,,
DR:thu-c-an-th-n-gi-n-c,Drug,"Thuốc an thần, giãn cơ",,
DR:diazepam-5mg,Drug,Diazepam 5mg,,
DR:diazepam-10mg,Drug,Diazepam 10mg,,
DR:thu-c-ch-ng-h-y-x-ng,Drug,Thuốc chống hủy xương,,
DR:biphosphonat-90mg,Drug,biphosphonat 90mg,,
DR:acid-zoledronic-4mg,Drug,acid zoledronic 4mg,,
PR:ph-u-thu-t-t-m-th-i,Procedure,Phẫu thuật tạm thời,,
PR:d-n-l-u,Procedure,Dẫn lưu,,
PR:n-i-t-t,Procedure,Nối tắt,,
PR:ch-nh-h-nh,Procedure,Chỉnh hình,,
PR:c-t-b-m-t-ph-n-kh-i-u,Procedure,Cắt bỏ một phần khối u,,
D:t-n-th-ng-di-c-n,Disease,Tổn thương di căn,,
PR:ph-u-thu-t-tri-t-c-n,Procedure,Phẫu thuật triệt căn,,
PR:ph-u-thu-t-c-t-ng-th-n-kinh-d-n-truy-n-au,Procedure,Phẫu thuật cắt đường thần kinh dẫn truyền đau,,
TR:x-tr-chi-u-ngo-i,Treatment,Xạ trị chiếu ngoài,,
CS:au-do-ung-th,ClinicalSign,Đau do ung thư,,
CS:au-do-ung-th-x-ng,ClinicalSign,Đau do ung thư xương,,
D:ung-th-x-ng-nguy-n-ph-t,Disease,ung thư xương nguyên phát,,
D:ung-th-x-ng-di-c-n,Disease,ung thư xương di căn,,
TR:i-u-tr-ch-ng-au,Treatment,Điều trị chống đau,,
DR:thu-c-ph-ng-x,Drug,Thuốc phóng xạ,,
TR:x-tr-chuy-n-h-a,Treatment,Xạ trị chuyển hóa,,
DR:ng-v-ph-ng-x,Drug,Đồng vị phóng xạ,,
DR:phospho-32,Drug,Phospho-32,,
DR:samarium-153,Drug,Samarium-153,,
DR:strontium-89,Drug,Strontium-89,,
D:c-ch-t-y-x-ng,Disease,Ức chế tủy xương,,
CS:h-ti-u-c-u,ClinicalSign,Hạ tiểu cầu,,
TR:i-u-tr-gi-m-au,Treatment,Điều trị giảm đau,,
M:visual-analogue-scale-vas,Measurement,Visual Analogue Scale (VAS),,
M:numerical-rating-scale-nrs,Measurement,Numerical Rating Scale (NRS),,
SV:au-nh,Severity,đau nhẹ,,
SV:au-v-a,Severity,đau vừa,,
SV:au-n-ng,Severity,đau nặng,,
D:adult-cancer-pain,Disease,Adult cancer pain,,
D:bi-n-ch-ng,Disease,Biến chứng,,
SV:suy-m-n,Severity,Suy mòn,,
CS:r-i-lo-n-v-gi-c,ClinicalSign,Rối loạn vị giác,,
CS:kh-nu-t,ClinicalSign,Khó nuốt,,
CS:tr-ng-b-ng,ClinicalSign,Trướng bụng,,
D:r-i-lo-n-h-p-thu,Disease,Rối loạn hấp thu,,
D:thay-i-chuy-n-h-a,Disease,Thay đổi chuyển hóa,,
D:suy-m-n-ung-th,Disease,Suy mòn ung thư,,
CS:gi-m-l-ng-th-c-n,ClinicalSign,Giảm lượng thức ăn,,
CS:thay-i-chuy-n-h-a,ClinicalSign,Thay đổi chuyển hóa,,
D:suy-m-n,Disease,Suy mòn,,
D:suy-dinh-d-ng,Disease,suy dinh dưỡng,,
D:suy-m-n,Disease,suy mòn,,
LT:albumin-huy-t-thanh,LabTest,Albumin huyết thanh,,
M:albumin,Measurement,Albumin,,
SV:suy-dinh-d-ng-m-c-nh,Severity,Suy dinh dưỡng mức độ nhẹ,,
SV:suy-dinh-d-ng-m-c-trung-b-nh,Severity,Suy dinh dưỡng mức độ trung bình,,
SV:suy-dinh-d-ng-m-c-n-ng,Severity,Suy dinh dưỡng mức độ nặng,,
LT:protein-to-n-ph-n,LabTest,Protein toàn phần,,
M:protein-to-n-ph-n,Measurement,Protein toàn phần,,
M:60-gam-l-t,Measurement,<60 gam/lít,,
LT:s-l-ng-h-ng-c-u,LabTest,Số lượng hồng cầu,,
LT:huy-t-s-c-t,LabTest,Huyết sắc tố,,
LT:h-ng-c-u,LabTest,Hồng cầu,,
M:b-nh-th-ng-n-3-8t-l,Measurement,"Bình thường nữ >3,8T/l",,
M:b-nh-th-ng-nam-4-2t-l,Measurement,"Bình thường nam >4,2T/l",,
D:thi-u-m-u-nh,Disease,Thiếu máu nhẹ,,
M:t-3-3-8t-l-v-i-n,Measurement,"Từ 3-3,8T/l với nữ",,
M:4-2t-l-v-i-nam,Measurement,"4,2T/l với nam",,
D:thi-u-m-u-n-ng,Disease,Thiếu máu nặng,,
M:t-2-3t-l,Measurement,Từ 2-3T/l,,
M:2t-l,Measurement,<2T/l,,
M:b-nh-th-ng-n-130g-l,Measurement,Bình thường nữ >130G/L,,
M:b-nh-th-ng-nam-140g-l,Measurement,Bình thường nam >140G/L,,
M:t-90-130g-l,Measurement,Từ 90-130G/L,,
D:thi-u-m-u-v-a,Disease,Thiếu máu vừa,,
M:t-60-90g-l,Measurement,Từ 60-90G/L,,
M:60g-l,Measurement,<60G/L,,
D:suy-m-n-do-ung-th,Disease,Suy mòn do ung thư,,
CS:m-t-kh-i-c,ClinicalSign,Mất khối cơ,,
CS:gi-m-ho-t-ng-th-ch-t,ClinicalSign,Giảm hoạt động thể chất,,
SV:suy-m-n-n-ng,Severity,Suy mòn nặng,,
D:thi-u-h-t-dinh-d-ng,Disease,Thiếu hụt dinh dưỡng,,
CS:m-t-kh-i-n-c-c-a-c-th,ClinicalSign,Mất khối nạc của cơ thể,,
AS:h-mi-n-d-ch,AnatomicalSite,Hệ miễn dịch,,
TR:nu-i-d-ng,Treatment,Nuôi dưỡng,,
TR:dinh-d-ng-qua-ng-ti-u-h-a-en,Treatment,Dinh dưỡng qua đường tiêu hóa (EN),,
TR:dinh-d-ng-t-nh-m-ch-pn,Treatment,Dinh dưỡng tĩnh mạch (PN),,
TR:dinh-d-ng-ho-n-to-n-qua-t-nh-m-ch,Treatment,Dinh dưỡng hoàn toàn qua tĩnh mạch,,
DR:hepagold,Drug,Hepagold,,
DR:aminoleban,Drug,Aminoleban,,
TR:lipid,Treatment,Lipid,,
DR:lipofundin,Drug,Lipofundin,,
DR:smoflipid,Drug,Smoflipid,,
DR:clinoleic,Drug,Clinoleic,,
DR:h-n-h-p-3-trong-1,Drug,Hỗn hợp 3 trong 1,,
DR:combilipid,Drug,Combilipid,,
DR:kabiven,Drug,Kabiven,,
DR:nutriflex-lipid,Drug,Nutriflex lipid,,
DR:oliclinomel,Drug,Oliclinomel,,
DR:nutriflex,Drug,Nutriflex,,
DR:vitamin,Drug,Vitamin,,
DR:tamipool,Drug,Tamipool,,
DR:cernevit,Drug,Cernevit,,
DR:ch-t-kho-ng,Drug,Chất khoáng,,
DR:decan,Drug,Decan,,
DR:mte-5,Drug,MTE -5,,
TR:b-sung-dinh-d-ng-ng-t-nh-m-ch,Treatment,Bổ sung dinh dưỡng đường tĩnh mạch,,
LT:protein,LabTest,Protein,,
LT:pre-albumin,LabTest,Pre-albumin,,
LT:cholesterol,LabTest,Cholesterol,,
LT:triglyceride,LabTest,Triglyceride,,
LT:got,LabTest,GOT,,
LT:gpt,LabTest,GPT,,
TR:i-u-tr-dinh-d-ng-cho-suy-m-n,Treatment,Điều trị dinh dưỡng cho suy mòn,,
G:h-i-dinh-d-ng-ng-t-nh-m-ch-v-ti-u-h-a-hoa-k-aspen,Guideline,Hội Dinh dưỡng đường tĩnh mạch và Tiêu hóa Hoa Kỳ (ASPEN),,
G:h-i-dinh-d-ng-ng-t-nh-m-ch-v-ti-u-h-a-ch-u-u-espen,Guideline,Hội Dinh dưỡng đường tĩnh mạch và Tiêu hóa châu Âu (ESPEN),,
PR:can-thi-p-s-m,Procedure,Can thiệp sớm,,
SV:ti-n-suy-m-n,Severity,Tiền suy mòn,,
CS:bu-n-n-n-n-n,ClinicalSign,"Buồn nôn, nôn",,
D:kh-i-cho-n-ch-trong-n-i-s,Disease,khối choán chỗ trong nội sọ,,
IM:x-quang-s,ImagingModality,X-quang sọ,,
IF:d-u-n-ng-n-tay-tr-n-x-ng-s,ImagingFinding,dấu ấn ngón tay trên xương sọ,,
IF:gi-n-kh-p-s,ImagingFinding,giãn khớp sọ,,
IF:kh-i-t-ng-t-tr-ng,ImagingFinding,khối tăng tỷ trọng,,
IF:kh-i-gi-m-t-tr-ng,ImagingFinding,khối giảm tỷ trọng,,
AS:th-n-n-o,AnatomicalSite,thân não,,
AS:ti-u-n-o,AnatomicalSite,tiểu não,,
D:t-n-th-ng-vi-m,Disease,tổn thương viêm,,
D:nh-i-m-u-n-o,Disease,nhồi máu não,,
PR:ghi-i-n-n-o,Procedure,Ghi điện não đồ,,
IF:s-ng-ng-kinh,ImagingFinding,ổ sóng động kinh,,
LT:x-t-nghi-m-d-ch-n-o-t-y,LabTest,xét nghiệm dịch não tủy,,
D:p-xe-n-o,Disease,áp xe não,,
D:vi-m-n-o,Disease,viêm não,,
PR:ch-c-d-ng-s-ng-th-t-l-ng,Procedure,Chọc dò ống sống thắt lưng,,
CS:t-ng-p-l-c-n-i-s,ClinicalSign,tăng áp lực nội sọ,,
PR:ch-c-d-d-ch-n-o-t-y,Procedure,Chọc dò dịch não tủy,,
IM:x-h-nh-th-n,ImagingModality,Xạ hình thận,,
IM:x-h-nh-n-o,ImagingModality,Xạ hình não,,
LT:x-t-nghi-m-t-bi-n-gen,LabTest,xét nghiệm đột biến gen,,
PTH:p53,Pathogen,P53,,
PTH:idh1,Pathogen,IDH1,,
PTH:idh2,Pathogen,IDH2,,
PTH:atrx,Pathogen,ATRX,,
PTH:tert,Pathogen,TERT,,
PTH:h3f3a,Pathogen,H3F3A,,
PTH:mgmt,Pathogen,MGMT,,
D:u-th-n-kinh-m-b-c-th-p,Disease,U thần kinh đệm bậc thấp,,
D:u-th-n-kinh-m-b-c-trung-gian,Disease,U thần kinh đệm bậc trung gian,,
D:u-th-n-kinh-m-c-t-nh-iii,Disease,U thần kinh đệm ác tính độ III,,
DR:temolozomide,Drug,Temolozomide,,
TR:h-a-ch-t,Treatment,Hóa chất,,
D:u-nguy-n-b-o-th-n-kinh-m,Disease,U nguyên bào thần kinh đệm,,
D:u-m-ng-n-o-th-t,Disease,U màng não thất,,
D:u-tuy-n-t-ng,Disease,U tuyến tùng,,
PR:ph-u-thu-t-d-n-l-u-n-o-th-t,Procedure,Phẫu thuật dẫn lưu não thất,,
D:u-s-h-u,Disease,U sọ hầu,,
D:u-d-y-th-n-kinh-s-viii,Disease,U dây thần kinh số VIII,,
D:u-tuy-n-y-n,Disease,U tuyến yên,,
PR:ph-u-thu-t-n-i-soi-qua-xoang-b-m,Procedure,phẫu thuật nội soi qua xoang bướm,,
PR:ph-u-thu-t-m-m,Procedure,phẫu thuật mổ mở,,
TR:i-u-tr-n-i-khoa,Treatment,điều trị nội khoa,,
DR:h-a-ch-t,Drug,hóa chất,,
D:lymphoma-n-o,Disease,Lymphoma ở não,,
PR:ph-u-thu-t-sinh-thi-t,Procedure,phẫu thuật sinh thiết,,
D:u-m-u-th-hang,Disease,U máu thể hang,,
D:u-m-ng-m-ch-n-o-th-t,Disease,U màng mạch não thất,,
TR:i-u-tr-tr-c-ph-u-thu-t,Treatment,Điều trị trước phẫu thuật,,
D:ph-n-o,Disease,phù não,,
DR:synacthene,Drug,Synacthene,,
D:nhi-m-tr-ng-ti-t-ni-u,Disease,nhiễm trùng tiết niệu,,
D:ung-th-di-c-n-n-o,Disease,ung thư di căn não,,
AS:n-o,AnatomicalSite,não,,
D:u-n-o-c-t-nh,Disease,u não ác tính,,
PR:x-ph-u-b-ng-dao-gamma,Procedure,Xạ phẫu bằng dao gamma,,
AS:th-n-n-o,AnatomicalSite,Thân não,,
D:u-t-i-ph-t,Disease,U tái phát,,
